"epci","grand_nom_metropole","to","date"
200023414,"Métropole Rouen Normandie",35.8333333333333,2020-10-21
200030195,"Métropole Nice Côte d'Azur",54.3478260869565,2020-10-21
200039865,"Metz Métropole",17.4193548387097,2020-10-21
200040715,"Grenoble-Alpes-Métropole",64.4007155635063,2020-10-21
200046977,"Métropole de Lyon",64.4007155635063,2020-10-21
200054781,"Métropole du Grand Paris",58.5876198779425,2020-10-21
200054807,"Métropole d'Aix-Marseille-Provence",54.3478260869565,2020-10-21
242100410,"Dijon Métropole",30.3030303030303,2020-10-21
242900314,"Brest Métropole",16.6666666666667,2020-10-21
243100518,"Toulouse Métropole",46.6244725738397,2020-10-21
243300316,"Bordeaux Métropole",18.6893203883495,2020-10-21
243400017,"Montpellier Méditerranée Métropole",46.6244725738397,2020-10-21
243500139,"Rennes Métropole",16.6666666666667,2020-10-21
243700754,"Tours Métropole Val de Loire",33.8888888888889,2020-10-21
244200770,"Saint-Etienne Métropole",64.4007155635063,2020-10-21
244400404,"Nantes Métropole",27.6243093922652,2020-10-21
244500468,"Orléans Métropole",33.8888888888889,2020-10-21
245400676,"Métropole du Grand Nancy",17.4193548387097,2020-10-21
245900410,"Métropole Européenne de Lille",52.7397260273973,2020-10-21
246300701,"Clermont Auvergne Métropole",64.4007155635063,2020-10-21
246700488,"Eurométropole de Strasbourg",17.4193548387097,2020-10-21
248300543,"Métropole Toulon-Provence-Méditerranée",54.3478260869565,2020-10-21
